OBJECTID,Type,Name,NHLE link,Longitude,Latitude
155,Parks & Gardens,CHILHAM CASTLE,https://historicengland.org.uk/listing/the-list/list-entry/1000261,0.955648619,51.23771126
156,Parks & Gardens,SANDLING PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000262,1.051507749,51.08675589
157,Parks & Gardens,CHARTWELL,https://historicengland.org.uk/listing/the-list/list-entry/1000263,0.085147854,51.24657146
158,Parks & Gardens,Linton Park,https://historicengland.org.uk/listing/the-list/list-entry/1000264,0.517130649,51.22131155
159,Parks & Gardens,ERIDGE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000265,0.247883733,51.08627202
160,Parks & Gardens,CALVERLEY PARK AND CALVERLEY GROUNDS,https://historicengland.org.uk/listing/the-list/list-entry/1000266,0.268448027,51.13094138
161,Parks & Gardens,STONEWALL PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000267,0.149916633,51.16084467
162,Parks & Gardens,LEXHAM HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000268,0.762500186,52.71976102
163,Parks & Gardens,CATTON HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000269,1.299065753,52.65725409
164,Parks & Gardens,HELMINGHAM HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000270,1.189962684,52.17401275
165,Parks & Gardens,CHANTRY PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000271,1.117089659,52.05291837
166,Parks & Gardens,GREATHED MANOR,https://historicengland.org.uk/listing/the-list/list-entry/1000272,0.019802234,51.16036737
167,Parks & Gardens,BIGNOR PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000273,-0.590853214,50.93199096
168,Parks & Gardens,BORDE HILL,https://historicengland.org.uk/listing/the-list/list-entry/1000274,-0.120868996,51.02196097
169,Parks & Gardens,HEASELANDS,https://historicengland.org.uk/listing/the-list/list-entry/1000275,-0.132874917,50.98966096
170,Parks & Gardens,HOPE END,https://historicengland.org.uk/listing/the-list/list-entry/1000276,-2.402456185,52.06289856
171,Parks & Gardens,"THE MANOR HOUSE, UPTON GREY",https://historicengland.org.uk/listing/the-list/list-entry/1000277,-1.001988045,51.23139418
172,Parks & Gardens,COMPTON END,https://historicengland.org.uk/listing/the-list/list-entry/1000278,-1.341873314,51.0302786
173,Parks & Gardens,LITTLEWORTH CROSS (FORMERLY HETHERSETT),https://historicengland.org.uk/listing/the-list/list-entry/1000279,-0.716482357,51.20345116
174,Parks & Gardens,CADLAND HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000280,-1.336045194,50.7959462
