OBJECTID,Type,Name,Longitude,Latitude
36523,Ancient Woodland,LADIES` GROVE WOOD,-0.361491503,51.76941012
36524,Ancient Woodland,LADOCK/ST.ENODER WOODS,-4.967734864,50.32528172
36525,Ancient Woodland,LADOCK/ST.ENODER WOODS,-4.974680382,50.32872027
36526,Ancient Woodland,LADTHWAITE BECK WOOD,-2.335544555,54.46068552
36527,Ancient Woodland,LADTHWAITE BECK WOOD,-2.335487213,54.46310318
36528,Ancient Woodland,LADWOOD/GARDEN WOOD,1.13721078,51.14407691
36529,Ancient Woodland,Lady's Hill Shaw,0.225690904,51.34955455
36530,Ancient Woodland,lady's winkins,-0.711432438,50.88452556
36531,Ancient Woodland,Lady's Wood,0.295248712,50.89883018
36532,Ancient Woodland,Lady's Wood,0.012312102,51.05126458
36533,Ancient Woodland,LADY'S WOOD,0.288791444,51.26385503
36534,Ancient Woodland,LADY COPPICE,-2.706793811,51.97603486
36535,Ancient Woodland,LADY COPPICE,-2.706310199,51.97860916
36536,Ancient Woodland,LADY COPPICE,-2.696415908,51.9855731
36537,Ancient Woodland,LADY COPPICE,-2.69982904,51.97753299
36538,Ancient Woodland,LADY COPPICE,-2.691200463,51.98825614
36539,Ancient Woodland,LADY COPPICEANDTHE BIRCHES,-2.889174095,52.02253163
36540,Ancient Woodland,Lady Croft Coppice,-2.359964906,52.11178313
36541,Ancient Woodland,Lady Grove,-1.455140759,51.84219608
36542,Ancient Woodland,Lady Grove,-1.455552909,51.84172146
36543,Ancient Woodland,LADY GROVE,0.394530991,51.72271444
36544,Ancient Woodland,LADY GROVE,0.461795915,51.6865747
36545,Ancient Woodland,LADY GROVE,0.390690393,51.72264878
36546,Ancient Woodland,LADY GROVE/CHESLAND,-0.677247193,51.74613334
36547,Ancient Woodland,LADY HAY WOOD,-1.237495916,52.67124177
36548,Ancient Woodland,LADY MARGARET WOOD,0.763599366,51.26379438
36549,Ancient Woodland,Lady Wood,-1.380015776,50.69183633
36550,Ancient Woodland,LADY WOOD,-1.342524404,52.95357803
36551,Ancient Woodland,LADY WOOD,-0.869620727,53.20644855
36552,Ancient Woodland,LADY WOOD,-0.796295898,52.66274631
36553,Ancient Woodland,LADY WOOD,-2.417221073,52.22108059
36554,Ancient Woodland,LADY WOOD,-2.10248521,52.48220108
36555,Ancient Woodland,LADY WOOD,-1.557980348,52.54186064
36556,Ancient Woodland,LADY WOOD,-0.350688909,52.18189377
36557,Ancient Woodland,LADY WOOD,-0.353728086,52.18198117
36558,Ancient Woodland,LADY WOOD,-2.479876621,52.62474173
36559,Ancient Woodland,LADY WOOD,-0.870632155,53.20613452
36560,Ancient Woodland,LADY WOOD,-2.41805062,52.2205652
36561,Ancient Woodland,LADY WOOD,-1.541854146,52.51305847
36562,Ancient Woodland,LADY WOOD,-0.377709775,52.60578976
36563,Ancient Woodland,LADY WOOD,-0.352153506,52.1818423
36564,Ancient Woodland,LADY/EASTWATERSLADE COPSE,-0.920178618,52.08670305
36565,Ancient Woodland,LADY/SOUTHER WOODS,-0.557800155,52.43298183
36566,Ancient Woodland,LADY/SOUTHER WOODS,-0.560904686,52.44289149
36567,Ancient Woodland,LADY/SOUTHER WOODS,-0.562968804,52.45134989
36568,Ancient Woodland,LADY/SOUTHER WOODS,-0.569960125,52.45221681
36569,Ancient Woodland,LADY/SOUTHER WOODS,-0.572489417,52.45227434
36570,Ancient Woodland,LADY/SOUTHER WOODS,-0.559948159,52.4528236
36571,Ancient Woodland,LADY/SOUTHER WOODS,-0.557089092,52.43313499
36572,Ancient Woodland,LADY/SOUTHER WOODS,-0.55743881,52.44269642
36573,Ancient Woodland,LADY/SOUTHER WOODS,-0.559788281,52.44419054
36574,Ancient Woodland,LADYBANK WOOD,-1.361580908,53.31644658
36575,Ancient Woodland,LADYBANK WOOD,-1.35919649,53.31529222
36576,Ancient Woodland,LADYBANK WOOD,-1.364384395,53.31769301
36577,Ancient Woodland,LADYBOWER WOOD,-1.695255495,53.3767664
36578,Ancient Woodland,Ladybrook Copse,-1.118239168,51.64272205
36579,Ancient Woodland,LADYCLOSE WOOD,-1.839520641,54.58697892
36580,Ancient Woodland,LADYCROSS LODGE WOOD,-1.546173413,50.828948
36581,Ancient Woodland,LADYCROSS LODGE WOOD,-1.551073363,50.8273213
36582,Ancient Woodland,LADYCROSS LODGE WOOD,-1.536752701,50.8310872
36583,Ancient Woodland,LADYCROSS LODGE WOOD,-1.531525757,50.82982537
36584,Ancient Woodland,LADYCROSS LODGE WOOD,-1.553882175,50.82906763
36585,Ancient Woodland,LADYCROSS LODGE WOOD,-1.556159209,50.82701701
36586,Ancient Woodland,LADYCROSS LODGE WOOD,-1.539793899,50.83082945
36587,Ancient Woodland,LADYCROSS LODGE WOOD,-1.53876554,50.82134723
36588,Ancient Woodland,LADYCROSS LODGE WOOD,-1.539977423,50.83093808
36589,Ancient Woodland,LADYCROSS LODGE WOOD,-1.545505376,50.8202406
36590,Ancient Woodland,LADYCROSS LODGE WOOD,-1.537435576,50.83095502
36591,Ancient Woodland,LADYCROSS LODGE WOOD,-1.535401049,50.8313606
36592,Ancient Woodland,LADYCROSS LODGE WOOD,-1.534767584,50.81794116
36593,Ancient Woodland,LADYCROSS LODGE WOOD,-1.536495566,50.81689591
36594,Ancient Woodland,LADYCROSS LODGE WOOD,-1.539995116,50.81467959
36595,Ancient Woodland,LADYCROSS LODGE WOOD,-1.538048321,50.8264162
36596,Ancient Woodland,LADYCROSS LODGE WOOD,-1.54158301,50.82067489
36597,Ancient Woodland,LADYCROSS LODGE WOOD,-1.531980911,50.81980048
36598,Ancient Woodland,LADYCROSS LODGE WOOD,-1.541362987,50.82429803
36599,Ancient Woodland,LADYCROSS LODGE WOOD,-1.548594849,50.82520749
36600,Ancient Woodland,LADYCROSS LODGE WOOD,-1.533532076,50.82797194
36601,Ancient Woodland,LADYCROSS LODGE WOOD,-1.532886004,50.8244173
36602,Ancient Woodland,LADYCROSS LODGE WOOD,-1.54412264,50.81499253
36603,Ancient Woodland,LADYCROSS LODGE WOOD,-1.543595743,50.82973829
36604,Ancient Woodland,LADYFIELD COPSE,-1.030507218,51.36950895
36605,Ancient Woodland,LADYFIELDS WOOD,-2.440485396,52.34704935
36606,Ancient Woodland,LADYGATE/POPLAR WOODS,0.411490806,52.07071951
36607,Ancient Woodland,Ladymeads Wood,0.361513319,51.07573895
36608,Ancient Woodland,LADYPARK WOOD,-4.338635724,50.45072095
36609,Ancient Woodland,LADYS COPPICE,-2.860604028,52.00782793
36610,Ancient Woodland,LADYS COPPICE,-2.860774346,52.00759292
36611,Ancient Woodland,LADYS WOOD,-2.38507042,51.57155233
36612,Ancient Woodland,LADYS WOOD,-1.559189571,51.39430548
36613,Ancient Woodland,LADYS WOOD,-0.17214865,52.42694807
36614,Ancient Woodland,LADYS WOOD,-1.552224787,51.39367665
36615,Ancient Woodland,LADYS WOOD,-2.387795556,51.57132756
36616,Ancient Woodland,LADYS WOOD,-1.562391787,51.39160199
36617,Ancient Woodland,LADYS WOOD,-1.557903152,51.3920707
36618,Ancient Woodland,LADYS WOOD,-1.558664763,51.39806203
36619,Ancient Woodland,LADYS WOOD,-1.548281948,51.39561273
36620,Ancient Woodland,LADYWALK WOOD,-0.513580788,51.63251648
36621,Ancient Woodland,LADYWELL WOOD,-2.187320278,52.54571865
36622,Ancient Woodland,LADYWELL WOOD,0.654740134,50.93734625
36623,Ancient Woodland,LAG WOOD,-0.148815272,50.91631372
36624,Ancient Woodland,LAGGS COPPICE,-3.048887944,54.38207368
36625,Ancient Woodland,LAGS WOOD,-3.040982737,54.37087171
36626,Ancient Woodland,LAGS WOOD,-3.040984539,54.37276807
36627,Ancient Woodland,LAGS WOOD,-3.040037771,54.37002604
36628,Ancient Woodland,LAGS WOOD,-3.04305241,54.36932595
36629,Ancient Woodland,LAGS WOOD,-3.039118615,54.37202919
36630,Ancient Woodland,LAGS WOOD,-3.040568932,54.3721605
36631,Ancient Woodland,LAGS WOOD,-3.040016584,54.37345048
36632,Ancient Woodland,Lain's Row,-1.39123356,51.6025181
36633,Ancient Woodland,LAIN COPSE,-1.572743115,51.05383973
36634,Ancient Woodland,LAIN COPSE,-1.573171063,51.05229464
36635,Ancient Woodland,LAIN COPSE,-1.572211266,51.05426941
